
"Consider this code:

<pre>age1 = input(""How old are you? "")

age2 = input(""How old is your best friend? "")</pre>



The user enters the ages in years as whole numbers (e.g., 2).  Select the code fragment(s) that print the sum of the ages. Be sure to use Python 3.","<pre>

x = int(age1)

y = int(age2)

print(str(x + y))

</pre>",<pre>print(age1 + age2)</pre>,<pre>print(int(age1 + age2))</pre>,<pre>print(int(age1) + int(age2))</pre>,<pre>print(str(int(age1 + age2)))</pre>,,,,,,,,,,

Variable <code>instructors</code> refers to the value <code>2</code>.  Select the expression(s) that produce <code>True</code>.,<code>not instructors &lt; 1</code>,<code>not not instructors &gt;= -3</code>,<code>instructors == 2 and instructors &lt; 2</code>,<code>instructors &lt; 2 or instructors &gt; 4</code>,<code>not instructors * 2 &gt; 1</code>,<code>instructors &lt; 0 or instructors &gt; 1</code>,,,,,,,,,

"Consider this code:

<pre>

def mystery(s):

    ''' (str) -> bool

    '''

    matches = 0

    for i in range(len(s) // 2):

        if s[i] == s[len(s) - 1 - i]:

            matches = matches + 1



    return matches == (len(s) // 2)

</pre>



Which is the best docstring description for function <code>mystery</code>?",Return <code>True</code> if and only if <code>s[:len(s) // 2]</code> is the same as <code>s[len(s) // 2:]</code>.,Return <code>True</code> if and only if the number of duplicate characters in <code>s</code> is equal to <code>len(s) // 2</code>.,Return <code>True</code> if and only if <code>s</code> is equal to the reverse of <code>s</code>.,Return <code>True</code> if and only if there are exactly <code>len(s) // 2</code> characters in <code>s</code> that are the same character.,,,,,,,,,,,

"Consider this code:

<pre>

def merge(L):

    merged = []

    for i in range(0, len(L), 3):

        merged.append(L[i] + L[i + 1] + L[i + 2])

    return merged



print(merge([1, 2, 3, 4, 5, 6, 7, 8, 9]))

</pre>



What is printed by the code above?","<code>[6, 15, 24]</code>","<code>[12, 15, 18]</code>","<code>[1, 4, 7]</code>","<code>[123, 456, 789]</code>",,,,,,,,,,,

"List <code>[1, 5, 8, 7, 6, 1, 7]</code> is being sorted using selection sort. Select the the option that corresponds to each pass in selection sort.","<pre>

[1, 5, 7, 6, 1, 7, 8]

[1, 5, 6, 1, 7, 7, 8]

[1, 5, 1, 6, 7, 7, 8]

[1, 1, 5, 6, 7, 7, 8]

[1, 1, 5, 6, 7, 7, 8]

[1, 1, 5, 6, 7, 7, 8]

</pre>","<pre>

[1, 5, 8, 7, 6, 1, 7]

[1, 5, 8, 7, 6, 1, 7]

[1, 5, 8, 7, 6, 1, 7]

[1, 5, 7, 8, 6, 1, 7]

[1, 5, 6, 7, 8, 1, 7]

[1, 1, 5, 6, 7, 8, 7]

[1, 1, 5, 6, 7, 7, 8]

</pre>","<pre>

[1, 5, 8, 7, 6, 1, 7]

[1, 1, 8, 7, 6, 5, 7]

[1, 1, 5, 7, 6, 8, 7]

[1, 1, 5, 6, 7, 8, 7]

[1, 1, 5, 6, 7, 8, 7]

[1, 1, 5, 6, 7, 7, 8]

[1, 1, 5, 6, 7, 7, 8]

</pre>",,,,,,,,,,,,

"Consider this code:

<pre>

x = 9 / 4

</pre>

What value does <code>x</code> refer to?",2.25,2.2,2.3,2,,,,,,,,,,,

"Consider this code:

<pre>

def increment_items(L, increment):

    i = 0

    while i &lt; len(L):

        L[i] = L[i] + increment

        i = i + 1



values = [1, 2, 3]

print(increment_items(values, 2))

print(values)

</pre>



What is printed by the program above?","<pre>

None

[1, 2, 3]

</pre>","<pre>

[3, 4, 5]

[1, 2, 3]

</pre>","<pre>

None

[3, 4, 5]</pre>","<pre>

[3, 4, 5]

None

</pre>",,,,,,,,,,,

"Consider this code:

<pre>

>>> a = [1, 2, 3]

>>> b = [1, 2, 3]

>>> # MISSING CODE HERE

>>> print(a, b)

[1, 'A', 3] [1, 'A', 3]

</pre>



Which of the following code fragments(s) could be the missing code in the program above?","<pre>

a = [1, 'A', 3]

b = [1, 'A', 3]

</pre>","<pre>

a[1] = 'A'

</pre>",<pre>b[-2] = 'A'</pre>,"<pre>

b[1] = 'AB'

a[1] = a[1][0]

</pre>",,,,,,,,,,,

"<pre>

def compress_list(L):

    """""" (list of str) -> list of str



    Return a new list with adjacent pairs of string elements from L

    concatenated together, starting with indices 0 and 1, 2 and 3,

    and so on.



    Precondition: len(L) >= 2 and len(L) % 2 == 0



    >>> compress_list(['a', 'b', 'c', 'd'])

    ['ab', 'cd']

    """"""

    compressed_list = []

    i = 0



    while i &lt; len(L):

        compressed_list.append(L[i] + L[i + 1])

        # MISSING CODE HERE



    return compressed_list

</pre>





Select the missing line of code.",<code>i = i + 2</code>,<code>i =  i + 1</code>,<code>i = i * 2</code>,<code>i = i + i</code>,,,,,,,,,,,

"Consider this code:

<pre>

def while_version(L):

    """""" (list of number) -> number

    """"""

    i = 0

    total = 0



    while i &lt; len(L) and L[i] % 2 != 0:

        total = total + L[i]

        i = i + 1



    return total

</pre>

The <code>while</code> loop stops as soon as an even number is found, and the sum of all the previous numbers is returned.



The four functions below use a <code>for</code> loop to try to accomplish the same task, although they keep iterating through all of the numbers in <code>L</code> regardless of whether the numbers are even or odd.  Only one of them returns the same value as function <code>while_version</code>.  Which one is it?","<pre>

def for_version(L):

    found_even = False

    total = 0



    for num in L:

        if num % 2 != 0:

            total = total + num

        found_even = True



    return total

</pre>","<pre>

def for_version(L):

    found_even = False

    total = 0



    for num in L:

        if num % 2 != 0:

            total = total + num

            found_even = True



    return total

</pre>","<pre>

def for_version(L):

    found_even = False

    total = 0



    for num in L:

        if num % 2 != 0:

            total = total + num

        elif not found_even:

            found_even = True



    return total

</pre>","<pre>

def for_version(L):

    found_even = False

    total = 0



    for num in L:

        if num % 2 != 0 and not found_even:

            total = total + num

        else:

            found_even = True

 

    return total

</pre>",,,,,,,,,,,

"Consider this code:

<pre>

def get_value(func, L1, L2):

    """""" (function, list, list) -> object

  

    Apply func to L1 and L2, then to a two-item list that contains the values produced by those

    two function calls, and return that result.

    """"""



    return func([func(L1), func(L2)])

</pre>

What will <code>get_value(sum, [1, 2, 3], [2, 3, 4])</code> produce?<br><br>",<code>1</code>,<code>6</code>,<code>9</code>,<code>15</code>,,,,,,,,,,,

"Recall that <b>triangle.py</b> defines a function named <code>area_hero</code>. The code below results in an error:



<code>NameError: global name 'area_hero' is not defined</code>. 



From the options below, select the  <code>return</code> statement that calls <code>area_hero</code> correctly.

<pre>import triangle



def area(sidelength):

    """""" (number) -> float



    Return the area of an equilateral triangle with sides of length sidelength.    



    >>> area(5)

    10.825317547305483

    """"""

    

    return area_hero(sidelength, sidelength, sidelength)

</pre>

","<code>return triangle.area_hero(sidelength, sidelength, sidelength)</code>","<code>return area.area_hero(sidelength, sidelength, sidelength)</code>","<code>return triangle.py.area_hero(sidelength, sidelength, sidelength)</code>",,,,,,,,,,,,

"Consider this code:

<pre>

def secret(s):

    i = 0

    result = ''



    while s[i].isdigit():

        result = result + s[i]

        i = i + 1



    return result

</pre>

Select the function call(s) that result in an error.",<code>secret('123')</code>,<code>secret('abc123')</code>,<code>secret('abc')</code>,<code>secret('123abc')</code>,,,,,,,,,,,

"Consider this code:

<pre>

>>> numbers = [1, 4, 3]

>>> # MISSING CODE HERE

>>> print(numbers)

[3, 4, 1]

</pre>



Which of the following code fragment(s) could be the missing code in the program above?",<code>numbers.reverse()</code>,<code>reverse(numbers)</code>,<code>numbers = reverse(numbers)</code>,<code>numbers = numbers.reverse()</code>,,,,,,,,,,,

"Consider this code:

<pre>

def mystery(s):

    i = 0

    result = ''



    while not s[i].isdigit():

        result = result + s[i]

        i = i + 1



    return result

</pre>



Select the function call(s) that result in an error.",<code>mystery('abc123')</code>,<code>mystery('123abc')</code>,<code>mystery('abc')</code>,<code>mystery('123')</code>,,,,,,,,,,,

"Consider this code:

<pre>

fruits = ['banana', 'apple', 'pear', 'peach']

fruits.insert(fruits.index('pear'), 'watermelon')

print(fruits)

</pre>



What is printed by the code above?","<code>['banana', 'apple', 'watermelon', 'peach']</code>","<code>['banana', 'apple', 'pear', 'watermelon', 'peach']</code>","<code>['banana', 'apple', 'watermelon', 'pear', 'peach']</code>","<code>['banana', 'watermelon', 'apple', 'pear', 'peach']</code>",,,,,,,,,,,

"What is the value of <code>average</code> after the following code is executed?

<pre>

grade1 = 80

grade2 = 90

average = (grade1 + grade2) / 2

grade1 = 100

</pre>",<code>95.0</code>,<code>85.0</code>,<code>85</code>,<code>95</code>,,,,,,,,,,,

Select the expression(s) that produce <code>True</code>.,<code>len('aabbcc') == 6</code>,<code>len('aabbcc') == 3</code>,<code>'as' in 'it happens'</code>,"<code>'do' in ""don't""</code>",,,,,,,,,,,

Variable <code>dollars</code> refers to the value <code>18</code> and variable <code>cents</code> refers to the value <code>53</code>.  Select the expression(s) that produce <code>True</code>.,<code>dollars == 10 or not cents != 53</code>,<code>not dollars == 18 or not cents == 53</code>,<code>not dollars &lt; 10 and cents &gt; 15</code>,<code>not (dollars &lt; cents and dollars &gt; 0)</code>,<code>(not dollars == 18) or cents == 53</code>,,,,,,,,,,

"Select the code fragment(s) that print <code>[3, 6, 9]</code>.","<pre>

values = []

for num in range(1, 4):

    values.append(num * 3)

print(values)

</pre>","<pre>

values = []

for num in range(1, 3):

    values.append(num * 3)

print(values)

</pre>","<pre>

values = []

for num in range(3, 10, 3):

    values.append(num)

print(values)

</pre>","<pre>



values = []

for num in range(3, 9, 3):

    values.append(num)

print(values)

</pre>",,,,,,,,,,,

"Consider this code:

<pre>

>>> letters = ['b', 'd', 'a']

>>> # MISSING CODE HERE

>>> print(letters)

['a', 'b', 'd']

</pre>



Which of the following code fragments(s) could be the missing code in the program above?",<code>sort(letters)</code>,<code>letters = letters.sort()</code>,<code>letters.sort()</code>,<code>letters = sort(letters)</code>,,,,,,,,,,,

"Consider this code: <code>a = [1, 0]</code>



All of the following code fragments cause <code>a</code> to refer to <code>[1, 0, 8]</code>.



Select all of the code fragment(s) that modify the original list.<br>

","a = [a[0], a[1], 8]",a.append(8),a = a + [8],"a.insert(len(a), 8)",,,,,,,,,,,

"<p>

This question is a followup to the previous question about cycling time trials.

</p>

<p>

Now that the race is over, you need to determine the three fastest cyclists.  (Assume there are no ties among the top three.)

</p>

<p>

Which data structure will make it easiest to look up the three fastest cyclists? You may assume that the names of the cyclists are unique.

</p>","A <code>list of [str, float] lists</code>, where each inner list represents <code>[cyclist, time]</code>.  The outer list is ordered from fastest time to slowest time.","A <code>dict of {str: float}</code>, where each key is a cyclist and each value is a time.","Parallel lists, where one is a <code>list of str</code> and the other is a <code>list of float</code>: the list of cyclists, and the list of their times.  The lists are sorted by the order in which the cyclists cross the finish line (which is <strong>not</strong> the same as how long they took).","A <code>dict of {float: str}</code>, where each key is a time and each value is the cyclist who finished with that time.",,,,,,,,,,,

"Given these dictionaries, select the queries below that will produce an empty list of restaurant names.

<pre>name_to_rating = {'Deep Fried Everything': 52, 'Georgie Porgie': 87,

    'Mexican Grill': 85, 'Dumplings R Us': 71, 'Queen St. Cafe': 82}



price_to_names = {'$$': ['Mexican Grill'], '$': ['Queen St. Cafe',

    'Dumplings R Us', 'Deep Fried Everything'], '$$$': ['Georgie Porgie'],

    '$$$$': []}



cuisine_to_names = {'Pub Food': ['Georgie Porgie', 'Deep Fried Everything'],

     'Thai': ['Queen St. Cafe'], 'Chinese': ['Dumplings R Us'],

     'Malaysian': ['Queen St. Cafe'], 'Canadian': ['Georgie Porgie'],

     'Mexican': ['Mexican Grill']}</pre>","Price: <code>$</code>, Cuisines: Chinese, Mexican","Price: <code>$$$$</code>, Cuisines: Pub Food, Canadian","Price: <code>$$</code>, Cuisines: Pub Food, Chinese, Canadian, Thai","Price: <code>$$$</code>, Cuisines: Pub Food",,,,,,,,,,,

"In one of the Week 6 lecture videos, we wrote the function <code>shift_left</code>. Consider this function, which shifts in the other direction:

  

<pre>

def shift_right(L):

    ''' (list) -> NoneType



    Shift each item in L one position to the right

    and shift the last item to the first position.



    Precondition: len(L) &gt;= 1

    '''



    last_item = L[-1]



    # MISSING CODE GOES HERE



    L[0] = last_item

</pre>



Select the code fragment that correctly completes function <code>shift_right</code>.

<br><br>

<strong>Hint:</strong> the correct answer works from the end to the beginning of <code>L</code>.","<pre>

    for i in range(1, len(L)):

        L[len(L) - i] = L[len(L) - i - 1]

</pre>","<pre>

    for i in range(1, len(L)):

        L[i] = L[i + 1]

</pre>","<pre>

    for i in range(len(L) - 1):

        L[i] = L[i + 1]

</pre>","<pre>

    for i in range(len(L)):

        L[i + 1] = L[i]

</pre>",,,,,,,,,,,

"Consider this code:

<pre>

L = [['apple', 3], ['pear', 2], ['banana', 3]]

d = {}

for item in L:

    d[item[0]] = item[1]

</pre>



What does this code do?",Populates dictionary <code>d</code> where each key is the first item of each inner list of <code>L</code> and each value is the second item of that inner list.,Populates dictionary <code>L</code> where each key is the first item of each inner list of <code>d</code> and each value is the second item of that inner list.,Reorders the items in the inner lists of <code>L</code>.,Removes the items from <code>L</code> and populates dictionary <code>d</code> where each key is the first item of each inner list of <code>L</code> and each value is the second item of that inner list.,,,,,,,,,,,

"Consider this code:

<pre>d = {1: ['a', 'b', 'c'], 2: ['d', 'e'], 3: []}</pre>

Select the code fragment(s) that set variable <code>total</code> to the number of items in all the lists that occur as values in <code>d</code>.

","<pre>total = 0

for k in d:

    total = total + len(d[k])

</pre>","<pre>total = 0

for k in d:

    total = total + k

</pre>","<pre>L = []

for k in d:

    L.extend(d[k])



total = len(L)

</pre>","<pre>L = []

for k in d:

    L.append(k)



total = len(L)

</pre>",,,,,,,,,,,

"Consider this code:

<pre>

def lines_startswith(file, letter):

    """""" (file open for reading, str) -> list of str



    Precondition: len(letter) == 1



    Return the list of lines from file that begin with letter. The lines should have the

    newline removed.

    """"""



    matches = []



    # CODE MISSING HERE



    return matches

</pre>

Select the code fragment(s) that make the function above match its docstring description.","<pre>

    for line in file:

        if letter == line[0]:

            matches.append(line.rstrip('\n'))

</pre>","<pre>

    for line in file:

        matches.append(line.startswith(letter).rstrip('\n'))

</pre>","<pre>

    for line in file:

        if letter in line:

            matches.append(line.rstrip('\n'))

</pre>","<pre>

    for line in file:

        if line.startswith(letter):

            matches.append(line.rstrip('\n'))

</pre>",,,,,,,,,,,

"What is the first line that will be printed after running the following code?



<pre>for vowel in 'aeiou':

    print(""I'd like to buy a"", vowel)

</pre>",I'd like to buy a aeiou,I'd like to buy a vowel,I'd like to buy a u,I'd like to buy a a,,,,,,,,,,,

"Consider this code:

<pre>

x = 8 / 4

</pre>

What value does <code>x</code> refer to?",2,2,0.5,1,,,,,,,,,,,

"Consider this code:

<pre>&gt;&gt;&gt; d = {'a': [1, 3], 'b': [5, 7]}



# CODE MISSING HERE



&gt;&gt;&gt; d

{'a': [1, 2, 3], 'b': [5, 7]}

</pre>

Select the option(s) that would lead to this result.  Hint: call <code>help</code> on <code>insert</code>, <code>append</code>, and <code>sort</code>.","<pre>d['a'].append(2)

d['a'].sort()</pre>","<pre>d['a'].insert(2, 1)</pre>","<pre>d['A'].insert(1, 2)</pre>","<pre>d['a'].insert(1, 2)</pre>",<pre>d['a'].append(2)</pre>,,,,,,,,,,

"Consider this code:

<pre>tup = (1, 2, 3)</pre>

Select the expression(s) and statement(s) below that <strong>result in an error</strong>.",<code>tup.reverse()</code>,<code>subtup = tup[0:2]</code>,"<code>tup[0:2] == (10, 30)</code>",<code>tup[-2] = 4</code>,<code>tup[0] == tup[-1]</code>,<code>tup.append(4)</code>,<code>tup.count(3)</code>,,,,,,,,

"A string <code>s1</code> is an <em>anagram</em> of string <code>s2</code> if its letters can be rearranged to form <code>s2</code>. For example, <code>""listen""</code> is an anagram of <code>""silent""</code>, and <code>""admirer""</code> is an anagram of <code>""married""</code>.  For this question, a word is considered to be an anagram of itself.



Consider this code:<pre>

def is_anagram(s1, s2):

    """""" (str, str) -> bool



    Return True if and only if s1 is an anagram of s2.



    >>> is_anagram(""silent"", ""listen"")

    True

    >>> is_anagram(""bear"", ""breach"")

    False

    """"""

</pre>

Select the algorithm(s) that can be used to implement <code>is_anagram</code>.","For each letter in <code>s1</code>, count the number of occurrences of

the letter in <code>s1</code> and count the number of occurrences of the

letter in <code>s2</code>. If each letter in <code>s1</code>

occurs the same

number of times in <code>s1</code> and <code>s2</code>, then <code>s1</code> is

an anagram of <code>s2</code>.","<ol>

<li>Create a dictionary <code>d1</code> in which each key is a letter from <code>s1</code> and each value is the number of occurrences of that letter in <code>s1</code>.</li>

<li>Create a dictionary <code>d2</code> in which each key is a letter from <code>s2</code> and each value is the number of occurrences of that letter in <code>s2</code>.</li>

<li>If <code>d1 == d2</code>, then <code>s1</code> is an anagram of <code>s2</code>.</li>

</ol>","For each letter in <code>s2</code>, count the number of occurrences of

the letter in <code>s1</code> and count the number of occurrences of the

letter in <code>s2</code>. If each letter in <code>s2</code>

occurs the same

number of times in <code>s1</code> and <code>s2</code>, then <code>s1</code> is

an anagram of <code>s2</code>.","<ol>

<li>Create a list of the characters in <code>s1</code>.  (The length of this list will be <code>len(s1)</code>.)</li>

<li>Create a list of the characters in <code>s2</code>.  (The length of this list will be <code>len(s2)</code>.)</li>

<li>For each item in the list of characters from <code>s1</code>, remove one occurrence of that item from the list of characters from <code>s2</code> (if it exists).</li>

<li>If the list of characters from <code>s2</code> becomes empty, <code>s1</code> is an anagram of <code>s2</code>.</li>

</ol>","<ol>

<li>Create a list <code>L1</code> of the characters in <code>s1</code>. (The length of this list will be <code>len(s1)</code>.)</li>

<li>Create a list <code>L2</code> of the characters in <code>s2</code>. (The length of this list will be <code>len(s2)</code>.)</li>

<li>Sort both lists.</li>

<li>If <code>L1 == L2</code>, <code>s1</code> is an anagram of <code>s2</code>.

</ol>",,,,,,,,,,

"Here is the code for <code>insert</code> with docstring and comments removed:

<pre>

def insert(L, i):

    value = L[i]



    while i > 0 and L[i - 1] > value:

        L[i] = L[i - 1]

        i = i - 1



    L[i] = value

</pre>



In general, in the <em>worst case</em>, on pass <code>i</code> of insertion sort, how many assignment statements are executed?

",<code>2i + 2</code>,<code>i</code>,<code>2i</code>,,,,,,,,,,,,

"Consider this code:<pre>

def count_startswith(L, ch):

    """""" (list of str, str) -> int



    Precondition: the length of each item in L is >= 1, and len(ch) == 1



    Return the number of strings in L that begin with ch.



    >>> count_startswith(['rumba', 'salsa', 'samba'], 's')

    2

    """"""



    ch_strings = []



    for item in L:

        if item[0] == ch:

            ch_strings.append(item)



    return len(ch_strings)

</pre>



Select the algorithm that <em>best</em> describes the approach taken in the function defined above.","<ol>

<li> Use an integer accumulator.</li>

<li> For each item in <code>L</code>, if the item begins with <code>ch</code>, add 1 to the accumulator.</li>

<li>Return the accumulator.

</ol>","<ol>

<li> Use a list accumulator.</li>

<li> For each item in <code>L</code>, if the item begins with <code>ch</code>, add it to the accumulator.</li>

<li>Return the length of the accumulator.

</ol>","<ol>

<li> Create a new list that contains the same values as <code>L</code>.</li>

<li> For each item in <code>L</code>, if the item <em>does not</em> begin with <code>ch</code>, remove it from the new list.</li>

<li>Return the length of the new list.

</ol>",,,,,,,,,,,,

"<i>cat.txt</i> is a plain text file in our current directory with the following contents (<i>the</i> is on the first line and <i>hat</i> is on the last line):



<pre>the

cat

in the

hat</pre>



After executing the code below, what value does <code>cat_string[3]</code> refer to?

<pre>cat_file = open(""cat.txt"", ""r"")

cat_string = cat_file.read()</pre>

","""hat""","""\n""","""c""","""e""",,,,,,,,,,,

"Consider the code:

<pre>def contains(v, d):

    ''' (object, dict of {object: list}) -> bool



    Return whether v is an element of one of the list values in d.



    >>> contains('moogah', {1: [70, 'blue'], 2: [1.24, 'moogah', 90], 3.14: [80, 100]})

    True

    >>> contains('moogah', {'moogah': [1.24, 'frooble', 90], 3.14: [80, 100]})

    False

    '''



    found = False  # Whether we have found v in a list in d.



    # CODE MISSING HERE



    return found

</pre>



Select the code fragment(s) that make the function above match its docstring description.","<pre>    for k in d:

        if v in d[k]:

            found = True

</pre>","<pre>    for k in d:

        if v == k:

            found = True

</pre>","<pre>    for k in d:

        for i in range(len(d[k])):

            if d[k][i] == v:

                found = True

</pre>","<pre>    for k in d:

        for i in range(len(d[k])):

            found = (d[k][i] == v)

</pre>",,,,,,,,,,,

"Consider this code, in which <code>s</code> refers to a string:

<pre>

    digits = """"



    for ch in s:

        if ch.isdigit():

            digits = digits + ch

</pre>



Select the code fragment(s) that will produce the same value for <code>digits</code>.","<pre>

    digits = ''



    for ch in s:

        if ch in '0123456789':

            digits = digits + ch

</pre>","<pre>

    digits = ''



    for i in range(len(s)):

        if s[i].isdigit():

            digits = digits + s[i]

</pre>","<pre>

    indices = []

    digits = ''



    for i in range(len(s)):

        if s[i].isdigit():

            indices.append(i)



    for index in indices:

        digits = digits + s[index]

</pre>","<pre>

    digits = ''



    for ch in s:

        if ch == '0123456789':

            digits = digits + ch

</pre>",,,,,,,,,,,

"Consider this code:

<pre>d = {'a': 1, 2: 'b'}</pre>

What is the value of the expression <code>d[2]</code>?",<code>'a'</code>,<code>1</code>,<code>2</code>,<code>'b'</code>,,,,,,,,,,,

"<p>

A cycling <em>time trial race</em> is a race in which each cyclist aims to finish in the fastest time. (All the cyclists start at different times, rather than everyone starting at the same time.)  There may be ties.

</p>

<p>

Your job is to determine which data structure to use to keep track of the names and times of the cyclists. The data structure will initially be empty and when a cyclist crosses the finish line, their data will be added to the data structure.

</p>

<p>

 Which of the following data structures <em>could be used</em> to represent all the cyclists and their times? You may assume that the names of the cyclists are unique.

</p>","A <code>list of [str, float] lists</code>, where each inner list represents <code>[cyclist, time]</code>.  The outer list is ordered from fastest time to slowest time.","A <code>dict of {str: float}</code>, where each key is a cyclist and each value is a time.","A <code>dict of {float: str}</code>, where each key is a time and each value is the cyclist who finished with that time.","Parallel lists, where one is a <code>list of str</code> and the other is a <code>list of float</code>: the list of cyclists, and the list of their times.  The lists are sorted by the order in which the cyclists cross the finish line (which is <strong>not</strong> the same as how long they took).",,,,,,,,,,,

"Consider this code:

<pre>

animal_to_locomotion = {'fish' : ['swim'],

                        'kangaroo' : ['hop'],

                        'frog' : ['swim', 'hop']}

animal_to_locomotion['human'] = ['swim', 'run', 'walk', 'airplane']

</pre>

Will an error occur when the code is executed?",yes,no,,,,,,,,,,,,,

"Consider this code:

<pre>

animal_to_locomotion = {'fish' : ['swim'],

                        'kangaroo' : ['hop'],

                        'frog' : ['swim', 'hop']}

animal_to_locomotion['frog'] = ['tapdance']

</pre>

Will an error occur when the code is executed?",yes,no,,,,,,,,,,,,,

"<p>

This question also involves a weather file and a weather dictionary.  Please see the previous question for details.

</p>

<p>

Select the algorithm(s) that can be used to make a list of the days in which no city had precipitation &mdash; we'll call this the ""zero-precipitation list"".  Each day should be a tuple of (month name, day number).  For example, if all cities in the ""city to precipitation"" dictionary for February had no precipitation on the very first day, then <code>('Feb', 1)</code> would be in the resulting list.

</p>

<p>

Note: in the weather dictionary, the list of precipitation amounts starts at index 0; to get the corresponding day number for an index, just add 1.

</p>

<p>

<strong>Hint:</strong> You will probably find this question easier to do if you take notes about the problem on a piece of paper, including drawing a small example weather dictionary.

</p>","<ol>

<li>Build the weather dictionary.</li>

<li>Create a ""zero-precipitation"" list containing all days of the year from <code>('Jan', 1)</code> through <code>('Dec', 31)</code>.</li>

<li>Iterate over the months to get each ""city to precipitation"" dictionary. For each of these dictionaries:</li>

<ol type=""a"">

<li>For each city in the current ""city to precipitation"" dictionary, iterate over the precipitation amounts.  Because we know the current month and day number, we will remove from the ""zero-precipitation"" list any day that has a non-zero precipitation amount.</li>

</ol>

<li>

One this process is complete, the ""zero-precipitation"" list contains only the (month, day number) for days in which no city had precipitation.</li>

</ol>

","

<ol>

<li>Build the weather dictionary.</li>

<li>Iterate over the months to get each ""city to precipitation"" dictionary.  Make a ""day to precipitation"" dictionary where the keys are all the days of the year from <code>('Jan', 1)</code> through <code>('Dec', 31)</code> and each value is a list of precipitation amounts for that day, one per city.</li>

<li>Iterate over the ""day to precipitation"" dictionary, making a list of the (month, day number) tuples where the <b>maximum</b> precipitation among the cities for that day is 0. This is the ""zero-precipitation"" list.</li>

</ol>

","<ol>

<li>Build the weather dictionary.</li>

<li>Create an empty ""zero-precipitation"" list to accumulate the answer.</li>

<li>Iterate over the months to get each ""city to precipitation"" dictionary. For each of these dictionaries:</li>

<ol type=""a"">

<li>Build a dictionary where each key is a city from the current ""city to precipitation"" dictionary, and each value is a list of the day numbers on which the city had no precipitation.</li>

<li>Iterate over the values in that dictionary to build a list containing the day numbers that appear in all the lists of day numbers.</li>

<li>

Iterate over the list of day numbers, appending tuples containing the current month name and the day number to the ""zero-precipitation"" list.

</li>

</ol>

","

<ol>

<li>Build the weather dictionary.</li>

<li>Iterate over the months to get each ""city to precipitation"" dictionary.  Make a ""day to precipitation"" dictionary where the keys are all the days of the year from <code>('Jan', 1)</code> through <code>('Dec', 31)</code> and each value is a list of precipitation amounts for that day, one per city.</li>

<li>Iterate over the ""day to precipitation"" dictionary, making a list of the (month, day number) tuples where the <b>minimum</b> precipitation among the cities for that day is 0. This is the ""zero-precipitation"" list.</li>

</ol>

",,,,,,,,,,,

"Consider this code:



<pre>

def high_low(guess, actual):

    """""" (int, int) -> str



    Return ""your guess is low"" if guess is lower than actual, ""your guess is high"" if guess is higher

    than actual, and ""correct"" if guess is equal to actual.



    >>> high_low(4, 10)

    ""your guess is low""

    """"""

</pre>



Which set of test cases is the <em>best</em> choice of tests cases for this function?  (Think about the <strong>Boundaries</strong> category for choosing test cases.)","<ul>

<li><code>guess</code> and <code>actual</code> refer to odd values</li>

<li><code>guess</code> and <code>actual</code> refer to zero</li>

<li><code>guess</code> and <code>actual</code> refer to non-zero even values</li>

</ul>","<ul>

<li><code>guess</code> refers to a value that is less than the value referred to by <code>actual</code></li>

<li><code>guess</code> refers to a value equal to the value referred to by <code>actual</code></li>

<li><code>guess</code> refers to a value that is greater than the value referred to by <code>actual</code></li>

</ul>","<ul>

<li><code>guess</code> and <code>actual</code> refer to negative values</li>

<li><code>guess</code> and <code>actual</code> refer to zero</li>

<li><code>guess</code> and <code>actual</code> refer to positive values</li>

</ul>","<ul>

<li><code>guess</code> refers to <code>""higher""</code> and <code>actual</code> refers to <code>""lower""</code></li>

